Transaction Name,Flow Name,Packet List Name,Transaction Duration (seconds),Network Time (seconds) ,Throughput Up (KB),Throughput Down (KB),Number of Requests,Errors,Analysis Score (Desktop) ,Analysis Score (Mobile) ,Transaction HTML Report Name
SearchAPI_Corp_Sort_MostReviews[7],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report101.html
SearchAPI_Corp_KeywordOnly[11],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report102.html
SearchAPI_Corp_Keyword_SearchWithin[8],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report103.html
SearchAPI_Corp_Contract[8],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report104.html
SearchAPI_Corp_Keyword_MPN[6],,,0.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report105.html
SearchAPI_Corp_KeywordOnly[12],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report106.html
SearchAPI_Corp_Keyword_Edc[5],,,0.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report107.html
SearchAPI_Corp_Contract[9],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report108.html
SearchAPI_Corp_Keyword_Edc[6],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report109.html
SearchAPI_Corp_Keyword_BoostBurry[14],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report110.html
SearchAPI_Corp_MultipleBrand[7],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report111.html
SearchAPI_Corp_KeywordOnly[13],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report112.html
SearchAPI_Corp_MultipleContract[4],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report113.html
SearchAPI_Corp_Sort_MostReviews[8],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report114.html
SearchAPI_Corp_KeywordOnly[14],,,0.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report115.html
SearchAPI_Corp_Keyword_BoostBurry[15],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report116.html
SearchAPI_Corp_Keyword_Edc[7],,,0.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report117.html
SearchAPI_Corp_Keyword_redirect[15],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report118.html
SearchAPI_Corp_Keyword_MPN[7],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report119.html
SearchAPI_Corp_Keyword_redirect[16],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report120.html
SearchAPI_Corp_Contract[10],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report121.html
SearchAPI_Corp_50Results[3],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report122.html
SearchAPI_Corp_Sort_MostReviews[9],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report123.html
SearchAPI_Corp_Keyword_BoostBurry[16],,,0.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report124.html
SearchAPI_Corp_Keyword_SearchWithin[9],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report125.html
SearchAPI_Corp_Keyword_MPN[8],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report126.html
SearchAPI_Corp_KeywordOnly[15],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report127.html
SearchAPI_Corp_Keyword_redirect[17],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report128.html
SearchAPI_Corp_Keyword_SearchWithin[10],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report129.html
SearchAPI_Corp_Keyword_SearchWithin[11],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report130.html
SearchAPI_Corp_Keyword_MPN[9],,,0.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report131.html
SearchAPI_Corp_Contract[11],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report132.html
SearchAPI_Corp_Keyword_SearchWithin[12],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report133.html
SearchAPI_Corp_Contract[12],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report134.html
SearchAPI_Corp_Sort_Price[8],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report135.html
SearchAPI_Corp_KeywordOnly[16],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report136.html
SearchAPI_Corp_Contract[13],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report137.html
SearchAPI_Corp_Keyword_Edc[8],,,0.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report138.html
SearchAPI_Corp_MultipleContract[5],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report139.html
SearchAPI_Corp_Keyword_BoostBurry[17],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report140.html
SearchAPI_Corp_Webclass[8],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report141.html
SearchAPI_Corp_Keyword_BoostBurry[18],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report142.html
SearchAPI_Corp_MultipleContract[6],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report143.html
SearchAPI_Corp_Sort_MostReviews[10],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report144.html
SearchAPI_Corp_Keyword_MPN[10],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report145.html
SearchAPI_Corp_50Results[4],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report146.html
SearchAPI_Corp_Keyword_redirect[18],,,0.4,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report147.html
SearchAPI_Corp_Keyword_redirect[19],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report148.html
SearchAPI_Corp_Keyword_MPN[11],,,0.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report149.html
SearchAPI_Corp_Keyword_redirect[20],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report150.html
SearchAPI_Corp_Keyword_SearchWithin[13],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report151.html
SearchAPI_Corp_Brand[8],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report152.html
SearchAPI_Corp_Keyword_MPN[12],,,0.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report153.html
SearchAPI_Corp_KeywordOnly[17],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report154.html
SearchAPI_Corp_Webclass[9],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report155.html
SearchAPI_Corp_Keyword_BoostBurry[19],,,0.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report156.html
SearchAPI_Corp_MultipleContract[7],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report157.html
SearchAPI_Corp_Keyword_redirect[21],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report158.html
SearchAPI_Corp_Keyword_SearchWithin[14],,,0.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report159.html
SearchAPI_Corp_25Results[2],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report160.html
SearchAPI_Corp_Keyword_BoostBurry[20],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report161.html
SearchAPI_Corp_Sort_Price[9],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report162.html
SearchAPI_Corp_Brand[9],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report163.html
SearchAPI_Corp_Brand[10],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report164.html
SearchAPI_Corp_Sort_Price[10],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report165.html
SearchAPI_Corp_Keyword_Edc[9],,,0.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report166.html
SearchAPI_Corp_KeywordOnly[18],,,0.5,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report167.html
SearchAPI_Corp_Sort_Price[11],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report168.html
SearchAPI_Corp_Keyword_redirect[22],,,0.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report169.html
SearchAPI_Corp_Keyword_BoostBurry[21],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report170.html
